date,time,date_time,roadway,intersection,report_number,address,latitude,longitude
4/19/18,1903,4/19/18 19:03,WAREHOUSE LN,,2018003748,"WAREHOUSE LN, Greenburgh, NY",41.063688,-73.816975
4/21/18,1310,4/21/18 13:10,CLUBWAY,,2018003804,"CLUBWAY, Greenburgh, NY",41.0096996,-73.8005348
4/26/18,1439,4/26/18 14:39,332 W HARTSDALE AV,,2018003982,"332 W HARTSDALE AV, Greenburgh, NY",41.027671406893,-73.8083610415447
4/28/18,2125,4/28/18 21:25,DOBBS FERRY RD,,2018004059,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
5/3/18,830,5/3/18 8:30,OLD ARMY RD,,2018004201,"OLD ARMY RD, Greenburgh, NY",40.986781,-73.815935
5/5/18,1103,5/5/18 11:03,TARRYTOWN RD,,2018004287,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
5/7/18,1715,5/7/18 17:15,S CENTRAL AV,,2018004393,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
5/8/18,1347,5/8/18 13:47,DOBBS FERRY RD,,2018004431,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
4/23/18,540,4/23/18 5:40,S MONTGOMERY AV,,2018004444,"S MONTGOMERY AV, Greenburgh, NY",41.06214,-73.806326
5/9/18,1017,5/9/18 10:17,HILLSIDE AV,,2018004459,"HILLSIDE AV, Greenburgh, NY",41.0452952,-73.790382
5/9/18,1920,5/9/18 19:20,BENEDICT AV,,2018004489,"BENEDICT AV, Greenburgh, NY",41.0632158,-73.8372502
5/14/18,1014,5/14/18 10:14,280 N CENTRAL AV,,2018004646,"280 N CENTRAL AV, Greenburgh, NY",41.0272503838119,-73.7910140804178
5/14/18,2033,5/14/18 20:33,GRASSLANDS RD,,2018004677,"GRASSLANDS RD, Greenburgh, NY",41.070303,-73.78745
5/16/18,811,5/16/18 8:11,JACKSON AV,,2018004722,"JACKSON AV, Greenburgh, NY",40.986792,-73.836019
5/17/18,1110,5/17/18 11:10,CENTRAL AV,,2018004761,"CENTRAL AV, Greenburgh, NY",41.0779345,-73.8607943
5/18/18,1834,5/18/18 18:34,E HARTSDALE AV,,2018004809,"E HARTSDALE AV, Greenburgh, NY",41.0114855,-73.7961129
5/20/18,2350,5/20/18 23:50,STADIUM RD,,2018004852,"STADIUM RD, Greenburgh, NY",41.041314,-73.8072059
5/20/18,1045,5/20/18 10:45,E HARTSDALE AV,,2018004858,"E HARTSDALE AV, Greenburgh, NY",41.0114855,-73.7961129
5/20/18,1250,5/20/18 12:50,HARTSDALE RD,HILLCREST AV,2018004864,"HARTSDALE RD AND HILLCREST AV, Greenburgh, NY",41.047281,-73.811872
5/24/18,1620,5/24/18 16:20,FIELDSTONE DR,,2018005015,"FIELDSTONE DR, Greenburgh, NY",41.030709,-73.791198
5/25/18,1315,5/25/18 13:15,SPRING ST,BENEDICT AV,2018005041,"SPRING ST AND BENEDICT AV, Greenburgh, NY",41.063655,-73.837637
5/29/18,1035,5/29/18 10:35,EVANDALE RD,,2018005176,"EVANDALE RD, Greenburgh, NY",41.003488,-73.822113
5/31/18,904,5/31/18 9:04,SAW MILL RIVER RD,,2018005251,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
6/1/18,2016,6/1/18 20:16,SPRAIN RD,,2018005323,"SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
6/3/18,1415,6/3/18 14:15,SAW MILL RIVER RD,,2018005378,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
6/6/18,1330,6/6/18 13:30,706 S CENTRAL AV,,2018005463,"706 S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
6/8/18,1620,6/8/18 16:20,DOBBS FERRY RD,,2018005545,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
6/19/18,1339,6/19/18 13:39,MANITOU TRL,,2018005921,"MANITOU TRL, Greenburgh, NY",41.052141,-73.780226
6/29/18,1739,6/29/18 17:39,TARRYTOWN RD,,2018006298,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
6/30/18,2300,6/30/18 23:00,FLORENCE AV,,2018006317,"FLORENCE AV, Greenburgh, NY",41.044037,-73.793855
