date,time,date_time,roadway,intersection,report_number
10/12/18,1212,10/12/18 12:12,HADDEN RD,WITHINGTON RD,2018009703
9/11/18,815,9/11/18 8:15,SAW MILL RIVER ROAD,,2018008679
11/6/18,1052,11/6/18 10:52,N CENTRAL AVE,W HARTSDALE AVE,2018010583
11/16/18,1930,11/16/18 19:30,NORTH CENTRAL AVE,,2018010961
1/2/18,1656,1/2/18 16:56,45 E HARTSDALE AV,,2018000056
1/3/18,1005,1/3/18 10:05,ARDSLEY RD,FORT HILL RD,2018000080
1/3/18,1330,1/3/18 13:30,CENTRAL AV,OLD ARMY RD,2018000085
1/6/18,825,1/6/18 8:25,111 S CENTRAL AV,,2018000185
1/6/18,1045,1/6/18 10:45,W HARTSDALE AV,,2018000191
1/10/18,819,1/10/18 8:19,ARDSLEY RD,,2018000322
1/10/18,945,1/10/18 9:45,W HARTSDALE AV,,2018000326
1/10/18,1642,1/10/18 16:42,HILLSIDE AV,,2018000338
1/10/18,1905,1/10/18 19:05,S CENTRAL AV,S WASHINGTON AV,2018000344
1/10/18,1939,1/10/18 19:39,N CENTRAL AV,CHATTERTON PKWY,2018000346
1/17/18,1610,1/17/18 16:10,LAMONT ST,SAW MILL RIVER RD,2018000588
1/17/18,1842,1/17/18 18:42,S CENTRAL AV,MARION AV,2018000593
1/18/18,757,1/18/18 7:57,WHITE PLAINS RD,,2018000608
1/18/18,1620,1/18/18 16:20,OLD TARRYTOWN RD,,2018000634
1/20/18,1505,1/20/18 15:05,531 S CENTRAL AV,,2018000703
1/19/18,1200,1/19/18 12:00,SAW MILL RIVER RD,N PAYNE ST,2018000716
1/23/18,1756,1/23/18 17:56,OLD SAW MILL RIVER RD,,2018000805
1/25/18,840,1/25/18 8:40,E HARTSDALE AV,,2018000853
1/26/18,956,1/26/18 9:56,TARRYTOWN RD,,2018000889
1/26/18,1735,1/26/18 17:35,JACKSON AV,MENDHAM AV,2018000904
1/27/18,1248,1/27/18 12:48,JACKSON AV,,2018000928
